Date,maxtempC,mintempC,sunHour,cloudcover,tempC,FeelsLikeC,humidity,windSpeedKmph,precipMM,weatherDesc
2018-05-03 18:30:00,22,15,14.0,5,19,19,68,21,0.0,Clear
2018-05-13 18:30:00,21,14,15.0,0,20,20,58,3,0.0,Clear
2018-05-20 13:00:00,22,17,12.0,22,21,21,67,16,0.0,Sunny
2018-05-26 18:45:00,25,19,11.0,79,21,21,78,22,0.2,Patchy rain possible
2018-05-11 13:30:00,20,16,11.0,74,19,19,63,19,1.0,Heavy rain at times
2018-05-09 08:15:00,20,16,8.0,87,17,17,82,12,0.1,Patchy rain possible
2018-05-18 12:30:00,26,19,15.0,9,25,26,50,4,0.0,Sunny
2018-05-03 05:45:00,22,15,14.0,9,16,16,77,6,0.0,Clear
2018-05-01 05:15:00,19,13,14.0,18,14,14,85,7,0.0,Clear
2018-05-30 12:30:00,23,19,15.0,17,23,25,56,28,0.0,Sunny
2018-05-29 19:30:00,23,19,13.0,62,19,19,76,23,0.0,Cloudy
2018-05-23 11:30:00,23,18,14.0,24,21,21,66,10,0.0,Sunny
2018-05-05 20:45:00,20,14,15.0,15,17,17,80,14,0.0,Clear
2018-05-09 05:45:00,20,16,8.0,94,17,17,84,9,0.2,Patchy rain possible
2018-05-08 04:55:00,19,16,6.0,68,16,16,85,11,0.0,Cloudy
2018-05-19 16:15:00,26,18,15.0,15,24,25,57,16,0.0,Sunny
2018-05-20 19:00:00,22,17,12.0,4,19,19,79,16,0.0,Clear
2018-05-24 14:00:00,24,18,15.0,9,23,25,63,23,0.0,Sunny
2018-05-04 21:00:00,21,15,15.0,4,16,16,80,18,0.0,Clear
2018-05-03 16:30:00,22,15,14.0,5,20,20,63,21,0.0,Sunny
2018-05-14 06:00:00,22,15,15.0,4,16,16,60,10,0.0,Sunny
2018-05-04 14:15:00,21,15,15.0,2,21,21,60,20,0.0,Sunny
2018-05-09 09:15:00,20,16,8.0,81,18,18,83,12,0.0,Cloudy
2018-05-28 15:30:00,22,18,9.0,55,21,21,72,24,0.0,Partly cloudy
2018-05-11 16:30:00,20,16,11.0,56,18,18,71,17,0.2,Patchy rain possible
2018-05-07 11:45:00,19,15,6.0,100,18,18,80,8,0.3,Patchy rain possible
2018-05-22 12:15:00,21,17,10.0,57,21,21,73,18,0.0,Partly cloudy
2018-05-07 09:15:00,19,15,6.0,100,17,17,77,12,0.0,Overcast
2018-05-25 20:00:00,22,19,7.0,22,20,20,82,21,0.0,Clear
2018-05-07 05:30:00,19,15,6.0,84,16,16,85,8,0.1,Patchy rain possible
2018-05-04 21:30:00,21,15,15.0,4,16,16,80,18,0.0,Clear
2018-05-28 07:45:00,22,18,9.0,87,19,19,75,21,0.0,Overcast
2018-05-31 14:30:00,23,18,15.0,2,22,24,50,22,0.0,Sunny
2018-05-23 08:30:00,23,18,14.0,67,20,20,73,11,0.0,Cloudy
2018-05-04 15:45:00,21,15,15.0,2,20,20,61,21,0.0,Sunny
2018-05-07 05:00:00,19,15,6.0,84,16,16,85,8,0.1,Patchy rain possible
2018-05-18 11:30:00,26,19,15.0,12,24,26,52,4,0.0,Sunny
2018-05-23 10:30:00,23,18,14.0,42,21,21,68,11,0.0,Partly cloudy
2018-05-31 15:15:00,23,18,15.0,2,22,22,51,23,0.0,Sunny
2018-05-27 15:45:00,22,19,13.0,52,21,21,72,29,0.0,Partly cloudy
2018-05-06 14:00:00,18,15,7.0,52,18,18,74,3,1.1,Heavy rain at times
2018-05-08 15:30:00,19,16,6.0,65,19,19,74,12,0.0,Cloudy
2018-05-07 08:15:00,19,15,6.0,98,17,17,80,11,0.0,Overcast
2018-05-07 21:45:00,19,15,6.0,64,17,17,91,10,0.2,Patchy rain possible
2018-05-27 18:30:00,22,19,13.0,36,20,20,79,23,0.0,Partly cloudy
2018-05-10 20:15:00,20,16,9.0,56,17,17,84,10,0.0,Partly cloudy
2018-05-28 10:45:00,22,18,9.0,83,21,21,71,23,0.0,Cloudy
2018-05-06 21:00:00,18,15,7.0,22,17,17,84,3,0.0,Clear
2018-05-31 10:15:00,23,18,15.0,3,22,22,52,19,0.0,Sunny
2018-05-08 21:50:00,19,16,6.0,51,18,18,81,10,0.0,Partly cloudy
2018-05-21 14:30:00,22,17,15.0,9,22,22,61,22,0.0,Sunny
2018-05-12 08:00:00,18,15,14.0,15,16,16,63,25,0.0,Sunny
2018-05-28 17:30:00,22,18,9.0,41,20,20,77,21,0.0,Partly cloudy
2018-05-17 07:00:00,24,20,15.0,35,21,21,52,12,0.0,Partly cloudy
2018-05-03 16:00:00,22,15,14.0,5,20,20,63,21,0.0,Sunny
2018-05-25 10:00:00,22,19,7.0,76,21,21,71,23,0.5,Moderate rain at times
2018-05-03 13:00:00,22,15,14.0,5,22,22,57,15,0.0,Sunny
2018-05-05 09:00:00,20,14,15.0,7,17,17,65,15,0.0,Sunny
2018-05-09 12:00:00,20,16,8.0,52,19,19,74,10,0.3,Patchy rain possible
2018-05-09 13:00:00,20,16,8.0,55,19,19,74,10,0.5,Moderate rain at times
2018-05-05 11:00:00,20,14,15.0,10,19,19,62,17,0.0,Sunny
2018-05-30 06:00:00,23,19,15.0,45,20,20,74,20,0.0,Partly cloudy
2018-05-08 13:50:00,19,16,6.0,88,19,19,77,9,0.3,Patchy rain possible
2018-05-26 12:00:00,25,19,11.0,11,24,25,56,21,0.0,Sunny
2018-05-12 09:00:00,18,15,14.0,4,17,17,60,24,0.0,Sunny
2018-05-30 19:00:00,23,19,15.0,15,20,20,74,20,0.0,Clear
2018-05-16 14:30:00,26,19,15.0,17,25,26,51,13,0.0,Sunny
2018-05-23 11:15:00,23,18,14.0,24,21,21,66,10,0.0,Sunny
2018-05-12 15:45:00,18,15,14.0,67,17,17,55,24,0.0,Cloudy
2018-05-13 12:45:00,21,14,15.0,0,20,20,42,8,0.0,Sunny
2018-05-07 07:15:00,19,15,6.0,96,16,16,82,10,0.0,Overcast
2018-05-06 11:30:00,18,15,7.0,72,17,17,77,2,1.2,Heavy rain at times
2018-05-15 08:30:00,25,17,15.0,9,20,20,57,9,0.0,Sunny
2018-05-11 14:30:00,20,16,11.0,70,19,19,65,17,0.2,Patchy rain possible
2018-05-17 19:00:00,24,20,15.0,9,23,25,57,4,0.0,Clear
2018-05-31 09:30:00,23,18,15.0,2,21,21,54,18,0.0,Sunny
2018-05-14 17:45:00,22,15,15.0,8,21,21,52,6,0.0,Sunny
2018-05-03 14:15:00,22,15,14.0,5,21,21,59,18,0.0,Sunny
2018-05-08 19:05:00,19,16,6.0,53,18,18,82,10,0.3,Patchy rain possible
2018-05-11 07:15:00,20,16,11.0,56,17,17,77,16,0.4,Patchy rain possible
2018-05-15 13:15:00,25,17,15.0,7,23,25,51,6,0.0,Sunny
2018-05-14 16:15:00,22,15,15.0,8,21,21,51,4,0.0,Sunny
2018-05-05 19:30:00,20,14,15.0,12,17,17,79,16,0.0,Clear
2018-05-18 06:45:00,26,19,15.0,28,20,20,63,6,0.0,Partly cloudy
2018-05-14 13:15:00,22,15,15.0,13,21,21,46,6,0.0,Sunny
2018-05-26 09:00:00,25,19,11.0,11,22,24,60,21,0.0,Sunny
2018-05-22 20:15:00,21,17,10.0,31,18,18,86,17,0.0,Partly cloudy
2018-05-31 19:00:00,23,18,15.0,20,20,20,66,13,0.0,Clear
2018-05-31 14:45:00,23,18,15.0,2,22,24,50,22,0.0,Sunny
2018-05-28 09:45:00,22,18,9.0,88,21,21,72,24,0.0,Overcast
2018-05-27 19:30:00,22,19,13.0,41,20,20,79,22,0.0,Partly cloudy
2018-05-03 20:00:00,22,15,14.0,4,17,17,70,17,0.0,Clear
2018-05-01 08:30:00,19,13,14.0,2,16,16,73,6,0.0,Sunny
2018-05-04 19:30:00,21,15,15.0,3,17,17,77,21,0.0,Clear
2018-05-09 16:30:00,20,16,8.0,68,19,19,76,8,0.8,Moderate rain at times
2018-05-24 10:15:00,24,18,15.0,18,22,22,67,21,0.0,Sunny
2018-05-14 18:45:00,22,15,15.0,8,21,21,54,7,0.0,Clear
2018-05-30 08:00:00,23,19,15.0,34,21,21,65,24,0.0,Partly cloudy
2018-05-22 07:30:00,21,17,10.0,90,19,19,80,21,0.0,Overcast
2018-05-31 11:30:00,23,18,15.0,3,22,24,50,19,0.0,Sunny
2018-05-30 09:15:00,23,19,15.0,29,22,22,60,26,0.0,Partly cloudy
2018-05-31 06:30:00,23,18,15.0,6,19,19,67,16,0.0,Sunny
2018-05-29 10:45:00,23,19,13.0,56,22,22,73,18,0.0,Partly cloudy
2018-05-07 18:15:00,19,15,6.0,70,17,17,89,11,0.0,Cloudy
2018-05-16 12:30:00,26,19,15.0,31,25,26,49,15,0.0,Partly cloudy
2018-05-03 20:15:00,22,15,14.0,4,17,17,70,17,0.0,Clear
2018-05-12 17:15:00,18,15,14.0,74,16,16,58,20,0.0,Cloudy
2018-05-28 14:00:00,22,18,9.0,62,21,21,71,23,0.0,Cloudy
2018-05-21 06:30:00,22,17,15.0,13,18,18,74,21,0.0,Sunny
2018-05-16 15:45:00,26,19,15.0,10,25,26,52,12,0.0,Sunny
2018-05-11 14:15:00,20,16,11.0,70,19,19,65,17,0.2,Patchy rain possible
2018-05-27 15:15:00,22,19,13.0,52,21,21,72,29,0.0,Partly cloudy
2018-05-08 18:20:00,19,16,6.0,54,18,18,82,9,0.2,Patchy rain possible
2018-05-07 21:30:00,19,15,6.0,64,17,17,91,10,0.2,Patchy rain possible
2018-05-24 10:00:00,24,18,15.0,18,22,22,67,21,0.0,Sunny
2018-05-20 17:00:00,22,17,12.0,5,20,20,75,18,0.0,Sunny
2018-05-27 14:45:00,22,19,13.0,56,21,21,71,29,0.0,Partly cloudy
2018-05-20 07:45:00,22,17,12.0,70,19,19,77,17,2.1,Moderate or heavy rain shower
2018-05-10 11:30:00,20,16,9.0,72,18,18,75,6,0.3,Patchy rain possible
2018-05-22 09:15:00,21,17,10.0,90,20,20,78,21,0.0,Overcast
2018-05-25 15:45:00,22,19,7.0,88,22,22,70,28,0.1,Patchy rain possible
2018-05-28 13:00:00,22,18,9.0,68,21,21,70,22,0.0,Cloudy
2018-05-05 13:30:00,20,14,15.0,10,19,19,63,19,0.0,Sunny
2018-05-01 18:45:00,19,13,14.0,3,17,17,79,14,0.0,Clear
2018-05-11 14:45:00,20,16,11.0,70,19,19,65,17,0.2,Patchy rain possible
2018-05-11 17:15:00,20,16,11.0,57,18,18,75,18,0.2,Patchy rain possible
2018-05-01 15:30:00,19,13,14.0,4,19,19,65,14,0.0,Sunny
2018-05-04 21:45:00,21,15,15.0,4,16,16,80,18,0.0,Clear
2018-05-02 13:00:00,20,14,14.0,9,19,19,59,11,0.0,Sunny
2018-05-12 13:00:00,18,15,14.0,33,18,18,53,24,0.0,Partly cloudy
2018-05-29 20:15:00,23,19,13.0,42,19,19,76,22,0.0,Partly cloudy
2018-05-14 10:30:00,22,15,15.0,11,19,19,49,9,0.0,Sunny
2018-05-02 14:30:00,20,14,14.0,14,19,19,61,12,0.0,Sunny
2018-05-14 09:45:00,22,15,15.0,9,18,18,51,10,0.0,Sunny
2018-05-08 11:05:00,19,16,6.0,99,18,18,80,15,0.4,Patchy rain possible
2018-05-31 16:00:00,23,18,15.0,3,21,21,55,20,0.0,Sunny
2018-05-26 07:30:00,25,19,11.0,17,21,21,69,17,0.0,Sunny
2018-05-10 18:00:00,20,16,9.0,46,18,18,81,12,0.0,Partly cloudy
2018-05-08 21:00:00,19,16,6.0,51,18,18,81,10,0.0,Partly cloudy
2018-05-17 13:15:00,24,20,15.0,36,24,25,49,7,0.0,Partly cloudy
2018-05-26 09:45:00,25,19,11.0,11,22,24,60,21,0.0,Sunny
2018-05-08 20:30:00,19,16,6.0,52,18,18,81,10,0.1,Patchy rain possible
2018-05-08 18:15:00,19,16,6.0,54,18,18,82,9,0.2,Patchy rain possible
2018-05-02 05:30:00,20,14,14.0,6,14,15,77,6,0.0,Clear
2018-05-10 17:30:00,20,16,9.0,75,18,18,78,12,0.3,Patchy rain possible
2018-05-21 08:00:00,22,17,15.0,8,19,19,67,22,0.0,Sunny
2018-05-18 13:15:00,26,19,15.0,9,25,26,52,3,0.0,Sunny
2018-05-13 19:45:00,21,14,15.0,0,19,19,59,3,0.0,Clear
2018-05-08 05:00:00,19,16,6.0,84,17,17,84,12,0.8,Moderate rain at times
2018-05-16 19:45:00,26,19,15.0,33,23,25,58,4,0.0,Partly cloudy
2018-05-08 12:15:00,19,16,6.0,99,18,18,79,13,0.3,Patchy rain possible
2018-05-13 11:00:00,21,14,15.0,0,19,19,43,6,0.0,Sunny
2018-05-10 21:30:00,20,16,9.0,60,17,17,85,8,0.0,Cloudy
2018-05-31 18:15:00,23,18,15.0,7,20,20,65,14,0.0,Clear
2018-05-27 10:00:00,22,19,13.0,58,21,21,70,29,1.3,Heavy rain at times
2018-05-26 06:30:00,25,19,11.0,20,20,20,74,15,0.0,Sunny
2018-05-05 13:45:00,20,14,15.0,10,19,19,63,19,0.0,Sunny
2018-05-23 18:45:00,23,18,14.0,3,20,20,80,17,0.0,Clear
2018-05-06 20:15:00,18,15,7.0,25,18,18,83,2,0.0,Clear
2018-05-20 19:45:00,22,17,12.0,4,19,19,79,16,0.0,Clear
2018-05-27 17:15:00,22,19,13.0,41,20,20,77,25,0.0,Partly cloudy
2018-05-05 13:15:00,20,14,15.0,10,19,19,63,19,0.0,Sunny
2018-05-04 09:45:00,21,15,15.0,4,18,18,59,16,0.0,Sunny
2018-05-27 08:15:00,22,19,13.0,80,20,20,72,26,1.7,Moderate or heavy rain shower
2018-05-10 18:15:00,20,16,9.0,46,18,18,81,12,0.0,Partly cloudy
2018-05-24 12:00:00,24,18,15.0,11,23,25,63,23,0.0,Sunny
2018-05-11 18:15:00,20,16,11.0,58,17,17,80,19,0.3,Patchy rain possible
2018-05-11 11:15:00,20,16,11.0,85,19,19,64,22,0.2,Patchy rain possible
2018-05-03 07:30:00,22,15,14.0,8,17,17,70,6,0.0,Sunny
2018-05-15 15:45:00,25,17,15.0,8,24,25,52,3,0.0,Sunny
2018-05-24 15:15:00,24,18,15.0,8,22,25,62,24,0.0,Sunny
2018-05-16 08:30:00,26,19,15.0,18,22,24,53,14,0.0,Sunny
2018-05-18 08:00:00,26,19,15.0,22,22,22,58,4,0.0,Sunny
2018-05-12 06:00:00,18,15,14.0,37,16,16,70,26,0.0,Partly cloudy
2018-05-08 18:35:00,19,16,6.0,54,18,18,82,9,0.2,Patchy rain possible
2018-05-09 21:30:00,20,16,8.0,66,18,18,81,4,0.0,Cloudy
2018-05-18 10:15:00,26,19,15.0,15,23,25,54,3,0.0,Sunny
2018-05-21 11:00:00,22,17,15.0,8,22,22,60,22,0.0,Sunny
2018-05-20 13:30:00,22,17,12.0,22,21,21,67,16,0.0,Sunny
2018-05-21 08:15:00,22,17,15.0,8,19,19,67,22,0.0,Sunny
2018-05-05 07:30:00,20,14,15.0,9,16,16,73,13,0.0,Sunny
2018-05-25 15:30:00,22,19,7.0,88,22,22,70,28,0.1,Patchy rain possible
2018-05-30 13:45:00,23,19,15.0,15,23,25,57,27,0.0,Sunny
2018-05-16 07:45:00,26,19,15.0,19,21,21,56,14,0.0,Sunny
2018-05-26 08:30:00,25,19,11.0,14,22,22,65,19,0.0,Sunny
2018-05-25 11:15:00,22,19,7.0,72,21,21,68,24,0.2,Patchy rain possible
2018-05-23 20:30:00,23,18,14.0,6,19,19,84,14,0.0,Clear
2018-05-19 13:30:00,26,18,15.0,11,25,26,53,6,0.0,Sunny
2018-05-20 10:30:00,22,17,12.0,28,21,21,69,17,0.0,Partly cloudy
2018-05-13 13:15:00,21,14,15.0,0,20,20,43,7,0.0,Sunny
2018-05-09 07:45:00,20,16,8.0,94,17,17,82,11,0.0,Overcast
2018-05-16 10:30:00,26,19,15.0,21,24,25,50,15,0.0,Sunny
2018-05-21 10:45:00,22,17,15.0,7,21,21,62,22,0.0,Sunny
2018-05-16 10:45:00,26,19,15.0,21,24,25,50,15,0.0,Sunny
2018-05-11 11:45:00,20,16,11.0,85,19,19,64,22,0.2,Patchy rain possible
2018-05-22 15:30:00,21,17,10.0,37,21,21,75,24,0.0,Partly cloudy
2018-05-15 07:00:00,25,17,15.0,7,19,19,58,9,0.0,Sunny
2018-05-08 08:00:00,19,16,6.0,100,17,17,83,16,3.4,Moderate or heavy rain shower
2018-05-20 19:15:00,22,17,12.0,4,19,19,79,16,0.0,Clear
2018-05-05 05:15:00,20,14,15.0,9,15,15,80,13,0.0,Clear
2018-05-29 14:15:00,23,19,13.0,55,22,22,72,27,0.0,Partly cloudy
2018-05-06 08:15:00,18,15,7.0,93,16,16,79,1,0.0,Overcast
2018-05-25 12:30:00,22,19,7.0,72,21,21,65,26,0.3,Patchy rain possible
2018-05-04 12:15:00,21,15,15.0,2,20,20,57,20,0.0,Sunny
2018-05-08 17:50:00,19,16,6.0,58,18,18,79,10,0.0,Partly cloudy
2018-05-29 19:15:00,23,19,13.0,62,19,19,76,23,0.0,Cloudy
2018-05-13 11:30:00,21,14,15.0,0,19,19,43,6,0.0,Sunny
2018-05-04 05:15:00,21,15,15.0,4,16,15,74,15,0.0,Clear
2018-05-21 20:45:00,22,17,15.0,13,18,18,81,27,0.0,Clear
2018-05-24 19:30:00,24,18,15.0,18,20,20,73,17,0.0,Clear
2018-05-01 19:15:00,19,13,14.0,9,17,17,80,14,0.0,Clear
2018-05-27 18:00:00,22,19,13.0,36,20,20,79,23,0.0,Partly cloudy
2018-05-29 17:15:00,23,19,13.0,71,20,20,75,25,0.0,Cloudy
2018-05-25 20:30:00,22,19,7.0,22,20,20,82,21,0.0,Clear
2018-05-06 09:30:00,18,15,7.0,94,17,17,78,1,0.0,Overcast
2018-05-08 12:05:00,19,16,6.0,99,18,18,79,13,0.3,Patchy rain possible
2018-05-28 15:15:00,22,18,9.0,55,21,21,72,24,0.0,Partly cloudy
2018-05-17 17:00:00,24,20,15.0,9,23,25,54,5,0.0,Sunny
2018-05-25 15:15:00,22,19,7.0,88,22,22,70,28,0.1,Patchy rain possible
2018-05-19 10:15:00,26,18,15.0,11,23,25,56,5,0.0,Sunny
2018-05-12 07:15:00,18,15,14.0,26,16,16,66,25,0.0,Partly cloudy
