Expedia,Booking,Jaro-Winkler,Soundex,Damerau-Levenshtein,Ймовірність,Рішення
"Deluxe Room, 1 King Bed",Deluxe King Room,0.82,0.00,12.0,82%,Належить
"Standard Room, 1 King Bed, Accessible",Standard King Roll-in Shower Accessible,0.74,1.00,17.0,81%,Належить
"Grand Corner King Room, 1 King Bed",Grand Corner King Room,0.79,1.00,12.0,83%,Належить
"Suite, 1 King Bed (Parlor)",King Parlor Suite,0.56,0.00,20.0,83%,Належить
"High-Floor Premium Room, 1 King Bed",High-Floor Premium King Room,0.89,1.00,12.0,85%,Належить
"Traditional Double Room, 2 Double Beds",Double Room with Two Double Beds,0.77,0.00,20.0,85%,Належить
"Room, 1 King Bed, Accessible",King Room - Disability Access,0.70,0.00,20.0,85%,Належить
"Deluxe Room, 1 King Bed",Deluxe King Room,0.82,0.00,12.0,85%,Належить
Deluxe Room,Deluxe Room (Non Refundable),0.56,1.00,17.0,85%,Належить
"Room, 2 Double Beds (19th to 25th Floors)",Two Double Beds - Location Room (19th to 25th Floors),0.83,0.00,22.0,85%,Належить
"Room, 1 King Bed (19th to 25 Floors)",King Bed - Location Room (19th to 25th Floors),0.83,0.00,22.0,85%,Належить
Deluxe Room,Deluxe Double Room,0.76,0.00,7.0,80%,Належить
"Junior Suite, 1 King Bed with Sofa Bed",Junior Suite,0.48,1.00,26.0,80%,Належить
"Signature Room, 2 Queen Beds",Signature Two Queen,0.64,1.00,11.0,80%,Належить
"Signature Room, 1 King Bed",Signature One King,0.68,1.00,11.0,80%,Належить
"Premium Room, 2 Queen Beds",Premium Two Queen,0.70,1.00,11.0,80%,Належить
"Studio, 1 King Bed with Sofa bed, Corner",Corner King Studio,0.62,0.00,31.0,80%,Належить
"Club Room, 2 Queen Beds",Club Two Queen,0.65,0.00,11.0,80%,Належить
"Club Room, 1 King Bed",Club One King,0.59,0.00,11.0,80%,Належить
"Club Room, Premium 2 Queen Beds",Club Premium Two Queen,0.75,0.00,14.0,80%,Належить
"Suite, 1 Bedroom",One Bedroom Suite,0.79,0.00,13.0,80%,Належить
"Deluxe Room, City View",Deluxe King Or Queen Room,0.47,0.00,16.0,19%,Не належить
"Deluxe Room, Lake View",Deluxe King Or Queen Room with Lake View,0.68,0.00,19.0,19%,Не належить
"Club Room, City View (Club Lounge Access for 2 guests)",Club Level King Or Queen Room with City View,0.51,0.00,39.0,19%,Не належить
"Club Room, Lake View (Club Lounge Access for 2 guests)",Club Level King Or Queen Room with Water View,0.53,0.00,40.0,19%,Не належить
"Deluxe Room, 1 King Bed",Deluxe Room - One King Bed,0.86,1.00,5.0,85%,Належить
"Deluxe Room, 2 Queen Beds",Deluxe Room - Two Queen Beds,0.87,1.00,5.0,85%,Належить
"Premier Room, 1 King Bed (Royal Club)",Royal Club Premier Room - One King Bed,0.72,0.00,29.0,85%,Належить
"Room, 2 Double Beds, Non Smoking",Double Room with Two Double Beds,0.66,0.00,28.0,85%,Належить
"Room, 1 King Bed, Non Smoking (LEISURE)",King Room,0.38,0.00,32.0,18%,Не належить
"Executive Room, 1 King Bed, Non Smoking",Executive King Room,0.66,1.00,22.0,80%,Належить
"Suite, 1 King Bed, Non Smoking",King Suite,0.50,0.00,23.0,80%,Належить
"Room, 1 Queen Bed, Non Smoking (Fairmont Room)",Queen Room,0.36,0.00,36.0,17%,Не належить
"Luxury Room, 1 Queen Bed, Non Smoking",Luxury Queen,0.49,0.00,25.0,20%,Не належить
"Luxury Room, 1 King Bed, Non Smoking",Luxury King,0.47,0.00,25.0,19%,Не належить
"Luxury Room, 2 Double Beds, Non Smoking",Luxury Double Room,0.63,0.00,23.0,19%,Не належить
"Deluxe Room, 1 King Bed, Non Smoking",Deluxe King Room,0.62,0.00,22.0,19%,Не належить
"Signature Room, 2 Double Beds, Non Smoking",Signature Double,0.55,1.00,26.0,19%,Не належить
"Signature Room, 1 King Bed, Non Smoking",Signature King,0.53,1.00,25.0,19%,Не належить
"Fairmont Gold, Suite, 1 King Bed, Non Smoking",Gold King Suite,0.50,0.00,33.0,19%,Не належить
"Room, 1 King Bed, Non Smoking, Business Lounge Access (Fairmont Gold)",Business King Room - Exclusive access to Gold Floor Lounge,0.54,0.00,51.0,19%,Не належить
"Room, 1 King Bed",King Room,0.72,0.00,12.0,82%,Належить
