+-----+-----------------------------------------------------------------------+------------------------------------------------------------------+--------------+---------+---------------------+-------------+-------------+
|     |                                Expedia                                |                             Booking                              | Jaro-Winkler | Soundex | Damerau-Levenshtein | Ймовірність |   Рішення   |
+-----+-----------------------------------------------------------------------+------------------------------------------------------------------+--------------+---------+---------------------+-------------+-------------+
|  1  |                        Deluxe Room, 1 King Bed                        |                         Deluxe King Room                         |     0.82     |  0.00   |        12.0         |     84%     |  Належить   |
|  2  |                 Standard Room, 1 King Bed, Accessible                 |             Standard King Roll-in Shower Accessible              |     0.74     |  1.00   |        17.0         |     68%     | Не належить |
|  3  |                  Grand Corner King Room, 1 King Bed                   |                      Grand Corner King Room                      |     0.79     |  1.00   |        12.0         |     68%     | Не належить |
|  4  |                      Suite, 1 King Bed (Parlor)                       |                        King Parlor Suite                         |     0.56     |  0.00   |        20.0         |     0%      | Не належить |
|  5  |                  High-Floor Premium Room, 1 King Bed                  |                   High-Floor Premium King Room                   |     0.89     |  1.00   |        12.0         |     68%     | Не належить |
|  6  |                Traditional Double Room, 2 Double Beds                 |                 Double Room with Two Double Beds                 |     0.77     |  0.00   |        20.0         |     82%     |  Належить   |
|  7  |                     Room, 1 King Bed, Accessible                      |                  King Room - Disability Access                   |     0.70     |  0.00   |        20.0         |     80%     |  Належить   |
|  8  |                        Deluxe Room, 1 King Bed                        |                         Deluxe King Room                         |     0.82     |  0.00   |        12.0         |     84%     |  Належить   |
|  9  |                              Deluxe Room                              |                   Deluxe Room (Non Refundable)                   |     0.56     |  1.00   |        17.0         |     68%     | Не належить |
| 10  |               Room, 2 Double Beds (19th to 25th Floors)               |      Two Double Beds - Location Room (19th to 25th Floors)       |     0.83     |  0.00   |        22.0         |     84%     |  Належить   |
| 11  |                 Room, 1 King Bed (19th to 25 Floors)                  |          King Bed - Location Room (19th to 25th Floors)          |     0.83     |  0.00   |        22.0         |     84%     |  Належить   |
| 12  |                              Deluxe Room                              |                        Deluxe Double Room                        |     0.76     |  0.00   |         7.0         |     66%     | Не належить |
| 13  |                Junior Suite, 1 King Bed with Sofa Bed                 |                           Junior Suite                           |     0.48     |  1.00   |        26.0         |     68%     | Не належить |
| 14  |                     Signature Room, 2 Queen Beds                      |                       Signature Two Queen                        |     0.64     |  1.00   |        11.0         |     68%     | Не належить |
